Frame,Person_ID,Best_Match,Score
keyframe_29.jpg,2,A Kurta,0.6897
keyframe_29.jpg,3,A person wearing pants,0.4897
keyframe_29.jpg,4,A person wearing pants,0.3531
keyframe_29.jpg,1,A Necklace,0.2867
keyframe_3.jpg,1,A Kurta,0.9473
keyframe_30.jpg,2,A Kurta,0.6108
keyframe_30.jpg,3,A person wearing pants,0.5348
keyframe_30.jpg,1,A t-shirt,0.4056
keyframe_31.jpg,4,A Kurta,0.8267
keyframe_31.jpg,1,A t-shirt,0.6131
keyframe_31.jpg,2,A t-shirt,0.4883
keyframe_31.jpg,3,A t-shirt,0.4369
keyframe_32.jpg,2,A person wearing pants,0.4276
keyframe_32.jpg,1,A Necklace,0.345
keyframe_33.jpg,1,A woman wearing a saree,0.52
keyframe_34.jpg,1,A Necklace,0.7014
keyframe_34.jpg,2,A person wearing pants,0.2713
keyframe_35.jpg,2,A t-shirt,0.6871
keyframe_35.jpg,1,A Kurta,0.6464
keyframe_35.jpg,3,A t-shirt,0.2963
keyframe_36.jpg,1,A Saree,0.5326
keyframe_37.jpg,1,A Kurta,0.8287
keyframe_37.jpg,3,A t-shirt,0.4759
keyframe_37.jpg,2,A t-shirt,0.4552
keyframe_38.jpg,1,A woman wearing a saree,0.4495
keyframe_39.jpg,1,A Kurta,0.8761
keyframe_39.jpg,3,A t-shirt,0.3537
keyframe_39.jpg,2,A person wearing a t-shirt,0.3421
keyframe_4.jpg,1,A Saree,0.4129
keyframe_40.jpg,1,A person wearing pants,0.8788
keyframe_40.jpg,2,A person wearing pants,0.548
keyframe_40.jpg,4,A t-shirt,0.4016
keyframe_40.jpg,3,A person wearing pants,0.2949
keyframe_42.jpg,1,A Saree,0.4461
keyframe_43.jpg,1,A Kurta,0.2713
keyframe_44.jpg,1,A Kurta,0.8455
keyframe_45.jpg,1,A Necklace,0.31
keyframe_46.jpg,1,A woman wearing a saree,0.3323
keyframe_47.jpg,1,A Kurta,0.4692
keyframe_48.jpg,1,A Kurta,0.6909
keyframe_49.jpg,1,A Kurta,0.5992
keyframe_5.jpg,1,A Kurta,0.5397
keyframe_50.jpg,1,A Kurta,0.5191
keyframe_51.jpg,1,A Kurta,0.4963
keyframe_52.jpg,1,A Kurta,0.7943
keyframe_53.jpg,1,A Kurta,0.6065
keyframe_54.jpg,1,A Kurta,0.7756
keyframe_55.jpg,1,A Kurta,0.4358
keyframe_56.jpg,1,A Kurta,0.6776
keyframe_57.jpg,1,A Kurta,0.4832
keyframe_58.jpg,1,A Kurta,0.5124
keyframe_59.jpg,1,A Kurta,0.573
keyframe_6.jpg,1,A woman wearing a saree,0.4245
keyframe_60.jpg,1,A Kurta,0.5852
keyframe_61.jpg,1,A person wearing pants,0.8616
keyframe_61.jpg,2,A t-shirt,0.4748
keyframe_62.jpg,1,A Kurta,0.6725
keyframe_63.jpg,1,A Kurta,0.7801
keyframe_64.jpg,2,A person wearing pants,0.8415
